X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,DIRECTCERT,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-86.254153,34.53375,19,10000601685,2022-2023,AL,100006,AL-048,Marshall County,Kate D Smith DAR Elementary School,6077 Main St,,Grant,AL,35747,    ,(256)728-2226,No,Not Virtual,PK,4,Elementary,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,254,219,35,293,68,106,123,104,98,86,,,,,,,,,,,,291,294,585,585,36.04999924,16.23,4,2,6,0,3,3,2,3,5,0,0,0,11,14,25,3,1,4,271,271,542,34.53375,-86.254153
-86.320895,34.177536,20,10000601812,2022-2023,AL,100006,AL-048,Marshall County,Douglas Middle School,Highway 75,,Douglas,AL,35964,    ,(256)593-1240,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,263,257,6,361,,,,,,,,146,173,177,,,,,,,,231,265,496,496,26.62999916,18.63,0,2,2,1,1,2,7,3,10,0,0,0,103,128,231,2,2,4,118,129,247,34.177536,-86.320895
-86.141422,34.362734,21,10000602209,2022-2023,AL,100006,AL-048,Marshall County,Asbury Elementary School,1966 Asbury Road,,Albertville,AL,35951,    ,(256)878-6221,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,590,546,44,480,41,102,132,120,99,106,101,,,,,,,,,,,346,355,701,701,38,18.45,1,1,2,2,2,4,2,7,9,1,1,2,148,155,303,2,4,6,190,185,375,34.362734,-86.141422
-86.8447,33.3409,22,10000700091,2022-2023,AL,100007,AL-158,Hoover City,Trace Crossings Elementary School,5454 Learning Lane,,Hoover,AL,35244,4529,(205)439-2700,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,285,243,42,237,106,120,125,107,97,112,121,,,,,,,,,,,414,374,788,788,51.5,15.3,1,0,1,41,34,75,126,141,267,0,0,0,33,32,65,30,24,54,183,143,326,33.3409,-86.8447
-86.6585,33.413,23,10000700248,2022-2023,AL,100007,AL-158,Hoover City,Greystone Elementary School,300 Village Street,,Hoover,AL,35242,6447,(205)439-3200,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Shelby County,65,58,7,62,23,59,56,63,92,65,66,,,,,,,,,,,222,202,424,424,31.70000076,13.38,0,0,0,22,17,39,23,16,39,0,0,0,10,6,16,13,10,23,154,153,307,33.413,-86.6585
-86.8377,33.3444,24,10000700251,2022-2023,AL,100007,AL-158,Hoover City,Hoover High School,1000 Buccaneer Drive,,Hoover,AL,35244,4511,(205)439-1200,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,13-City: Small,Jefferson County,919,788,131,764,,,,,,,,,,,798,702,669,672,,,,1480,1361,2841,2841,181,15.7,2,2,4,98,100,198,411,382,793,1,0,1,132,133,265,62,38,100,774,706,1480,33.3444,-86.8377
-86.7322,33.3956,25,10000700337,2022-2023,AL,100007,AL-158,Hoover City,Berry Middle School,4500 Jaguar Dr,,Hoover,AL,35242,4698,(205)439-2000,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,13-City: Small,Shelby County,380,325,55,318,,,,,,,,378,358,373,1,,1,2,,,,585,528,1113,1113,75.5,14.74,0,0,0,59,34,93,110,109,219,1,1,2,59,49,108,26,16,42,330,319,649,33.3956,-86.7322
-86.8784,33.3375,26,10000700342,2022-2023,AL,100007,AL-158,Hoover City,South Shades Crest Elementary School,3770 South Shades Crest Rd,,Hoover,AL,35244,4123,(205)439-3000,No,Not Virtual,PK,2,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,108,98,10,94,48,179,178,163,,,,,,,,,,,,,,278,290,568,568,36.29999924,15.65,2,0,2,28,37,65,54,61,115,0,0,0,16,16,32,15,26,41,163,150,313,33.3375,-86.8784
-86.854796,33.330923,27,10000701422,2022-2023,AL,100007,AL-158,Hoover City,Robert F Bumpus Middle School,6055 Flemming Parkway,,Hoover,AL,35244,4590,(205)439-2200,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,41-Rural: Fringe,Shelby County,251,216,35,219,,,,,,,,342,397,389,,,,,,,,591,537,1128,1128,75.5,14.94,1,0,1,75,66,141,144,131,275,0,1,1,33,21,54,31,28,59,307,290,597,33.330923,-86.854796
-86.7288,33.3927,28,10000701456,2022-2023,AL,100007,AL-158,Hoover City,Spain Park High School,4700 Jaguar Drive,,Hoover,AL,35242,4678,(205)439-1400,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,13-City: Small,Shelby County,417,360,57,355,,,,,,,,,,,332,380,404,387,,,,776,727,1503,1503,99.27999878,15.14,1,0,1,53,48,101,155,125,280,1,1,2,67,83,150,28,21,49,471,449,920,33.3927,-86.7288
-86.8674,33.3639,29,10000701483,2022-2023,AL,100007,AL-158,Hoover City,Deer Valley Elementary School,4990 Ross Bridge Parkway,,Hoover,AL,35226,5064,(205)439-3300,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,94,82,12,81,5,107,119,127,110,125,147,,,,,,,,,,,382,358,740,740,48,15.42,2,1,3,45,39,84,50,73,123,0,0,0,15,11,26,21,17,38,249,217,466,33.3639,-86.8674
-86.8538,33.4096,30,10000701738,2022-2023,AL,100007,AL-158,Hoover City,Bluff Park Elementary School,569 Park Avenue,,Hoover,AL,35226,1298,(205)439-2800,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,123,105,18,106,5,117,106,91,74,86,102,,,,,,,,,,,286,295,581,581,40.5,14.35,0,0,0,1,4,5,24,35,59,0,0,0,17,15,32,9,10,19,235,231,466,33.4096,-86.8538
-86.8088,33.3957,31,10000701739,2022-2023,AL,100007,AL-158,Hoover City,Green Valley Elementary School,3200 Old Columbiana Rd,,Hoover,AL,35226,3398,(205)439-2500,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,262,235,27,208,21,92,88,70,61,76,68,,,,,,,,,,,259,217,476,476,36.5,13.04,0,1,1,6,3,9,87,73,160,0,0,0,48,42,90,10,9,19,108,89,197,33.3957,-86.8088
-86.8312,33.3882,32,10000701740,2022-2023,AL,100007,AL-158,Hoover City,Gwin Elementary School,1580 Patton Chapel Road,,Hoover,AL,35226,2258,(205)439-2600,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,226,201,25,182,18,81,91,72,81,86,86,,,,,,,,,,,265,250,515,515,41.25,12.48,0,0,0,8,10,18,72,62,134,0,0,0,52,39,91,4,7,11,129,132,261,33.3882,-86.8312
-86.8337,33.3879,33,10000701741,2022-2023,AL,100007,AL-158,Hoover City,Ira F Simmons Middle School,1575 Patton Chapel Road,,Hoover,AL,35226,2257,(205)439-2100,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,13-City: Small,Jefferson County,404,351,53,353,,,,,,,,300,263,319,,,,,,,,458,424,882,882,68,12.97,0,1,1,14,14,28,105,123,228,0,0,0,67,53,120,21,16,37,251,217,468,33.3879,-86.8337
-86.7668,33.4091,34,10000701742,2022-2023,AL,100007,AL-158,Hoover City,Rocky Ridge Elementary School,2876 Old Rocky Ridge Rd,,Hoover,AL,35243,2999,(205)439-2900,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,209,182,27,167,24,82,87,85,108,87,100,,,,,,,,,,,297,276,573,573,43.5,13.17,0,1,1,9,11,20,61,52,113,0,1,1,36,33,69,18,25,43,173,153,326,33.4091,-86.7668
-86.824614,33.426608,35,10000701743,2022-2023,AL,100007,AL-158,Hoover City,Shades Mountain Elementary School,2250 Sumpter St,,Hoover,AL,35226,3099,(205)439-3100,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,157,142,15,132,2,58,59,50,66,43,52,,,,,,,,,,,176,154,330,330,23.20000076,14.22,0,0,0,8,16,24,20,35,55,0,1,1,17,15,32,21,10,31,110,77,187,33.426608,-86.824614
-86.8129,33.3596,36,10000702091,2022-2023,AL,100007,AL-158,Hoover City,Riverchase Elementary School,1950 Old Montgomery Highway,,Hoover,AL,35244,1516,(205)439-3400,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Shelby County,204,180,24,168,5,90,89,94,89,112,124,,,,,,,,,,,306,297,603,603,44,13.7,0,1,1,27,38,65,72,70,142,0,0,0,43,29,72,21,14,35,143,145,288,33.3596,-86.8129
-86.88919,33.344122,37,10000702186,2022-2023,AL,100007,AL-158,Hoover City,Brocks Gap Intermediate School,1730 Lake Cyrus Club Drive,,Hoover,AL,35244,4182,(205)439-1600,No,Not Virtual,3,5,Elementary,1,Regular School,Currently operational ,13-City: Small,Jefferson County,116,106,10,100,,,,,148,170,174,,,,,,,,,,,253,239,492,492,33.5,14.69,0,0,0,21,22,43,56,57,113,1,3,4,21,15,36,18,16,34,136,126,262,33.344122,-86.88919
-86.840932,33.337604,38,10000702359,2022-2023,AL,100007,AL-158,Hoover City,Crossroads School,1085 Buccaneer Drive,,Hoover,AL,35244,    ,(205)439-1800,No,Not Virtual,6,12,High,1,Alternative Education School,Currently operational ,13-City: Small,Jefferson County,-1,-1,-1,-1,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.337604,-86.840932
-86.80969,33.34668,39,10000702487,2022-2023,AL,100007,AL-158,Hoover City,Riverchase Career Connection Center,853 Willow Oak Drive,,Hoover,AL,35244,    ,(205)439-1900,No,Not Virtual,10,12,High,1,Career and Technical School,Currently operational ,13-City: Small,Shelby County,-1,-1,-1,-1,,,,,,,,,,,,0,0,0,,,,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34668,-86.80969
-86.7137,34.7058,40,10000800303,2022-2023,AL,100008,AL-169,Madison City,Horizon Elementary School,7855 Old Madison Pike,,Madison,AL,35758,    ,(256)464-3614,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,184,166,18,168,1,70,79,87,91,113,106,,,,,,,,,,,279,268,547,547,36.5,14.99,1,2,3,19,14,33,51,54,105,0,0,0,19,29,48,24,21,45,165,148,313,34.7058,-86.7137
-86.7427,34.7408,41,10000800495,2022-2023,AL,100008,AL-169,Madison City,Discovery Middle School,1304 Hughes Rd,,Madison,AL,35758,    ,(256)837-3735,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,338,294,44,285,,,,,,,,407,462,465,,,,,,,,694,640,1334,1334,80,16.68,4,3,7,56,46,102,127,132,259,1,3,4,60,43,103,40,50,90,406,363,769,34.7408,-86.7427
-86.7425,34.7192,42,10000800831,2022-2023,AL,100008,AL-169,Madison City,Bob Jones High School,650 Hughes Rd,,Madison,AL,35758,    ,(256)772-2547,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,454,396,58,384,,,,,,,,,,,480,484,470,486,,,,1010,910,1920,1920,109,17.61,5,8,13,64,68,132,222,204,426,1,0,1,79,78,157,56,62,118,583,490,1073,34.7192,-86.7425
-86.7505,34.6975,43,10000800839,2022-2023,AL,100008,AL-169,Madison City,Madison Elementary School,17 College St,,Madison,AL,35758,    ,(256)772-9255,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,137,124,13,109,0,85,89,95,81,79,76,,,,,,,,,,,253,252,505,505,36.5,13.84,0,0,0,26,17,43,45,54,99,0,0,0,17,15,32,19,17,36,146,149,295,34.6975,-86.7505
-86.749524,34.709961,44,10000800851,2022-2023,AL,100008,AL-169,Madison City,MidTown Elementary School,140 Coefer Boulevard,,Madison,AL,35758,    ,(256)837-1189,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,263,227,36,221,0,180,177,156,161,158,167,,,,,,,,,,,497,502,999,999,55.5,18,1,0,1,25,36,61,113,105,218,0,2,2,44,49,93,33,35,68,281,275,556,34.709961,-86.749524
-86.7832,34.7211,45,10000801423,2022-2023,AL,100008,AL-169,Madison City,Heritage Elementary School,11775 County Line Rd,,Madison,AL,35758,3301,(256)772-2075,No,Not Virtual,KG,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,193,165,28,162,,129,125,153,152,145,172,,,,,,,,,,,450,426,876,876,46,19.04,1,2,3,55,54,109,76,66,142,1,5,6,34,37,71,19,29,48,264,233,497,34.7211,-86.7832
-86.7331,34.7512,46,10000801485,2022-2023,AL,100008,AL-169,Madison City,Rainbow Elementary School,50 Nance Rd,,Madison,AL,35758,9507,(256)824-8106,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,166,144,22,144,246,102,111,117,119,118,113,,,,,,,,,,,459,467,926,926,52.29999924,17.71,1,0,1,30,27,57,74,79,153,1,1,2,37,42,79,39,37,76,277,281,558,34.7512,-86.7331
-86.7792,34.7337,47,10000801798,2022-2023,AL,100008,AL-169,Madison City,Liberty Middle School,281 Dock Murphy Dr,,Madison,AL,35758,    ,(256)430-0001,No,Not Virtual,6,8,Middle,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,325,296,29,278,,,,,,,,501,511,481,,,,,,,,773,720,1493,1493,78.33000183,19.06,8,5,13,82,96,178,127,129,256,1,0,1,75,49,124,37,54,91,443,387,830,34.7337,-86.7792
-86.766,34.7343,48,10000802097,2022-2023,AL,100008,AL-169,Madison City,Columbia Elementary School,667 Balch Road,,Madison,AL,35758,    ,(256)430-2751,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,183,162,21,160,0,120,127,138,115,154,130,,,,,,,,,,,379,405,784,784,46.5,16.86,0,0,0,48,51,99,60,65,125,0,0,0,42,34,76,27,29,56,202,226,428,34.7343,-86.766
-86.772013,34.701186,49,10000802133,2022-2023,AL,100008,AL-169,Madison City,Mill Creek Elementary School,847 Mill Road,,Madison,AL,35758,    ,(256)774-4690,No,Not Virtual,PK,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Madison County,210,186,24,172,39,144,149,143,142,163,160,,,,,,,,,,,494,446,940,940,60.29999924,15.59,1,3,4,41,48,89,80,73,153,0,0,0,51,39,90,47,26,73,274,257,531,34.701186,-86.772013
-86.791802,34.705886,50,10000802198,2022-2023,AL,100008,AL-169,Madison City,James Clemens High School,11306 County Line Road,,Madison,AL,35756,    ,(256)216-5313,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,21-Suburb: Large,Limestone County,454,404,50,375,,,,,,,,,,,494,537,576,542,,,,1078,1071,2149,2149,119.8300018,17.93,5,7,12,110,103,213,216,210,426,1,3,4,91,89,180,52,44,96,603,615,1218,34.705886,-86.791802
-86.747416,34.686038,51,10000802522,2022-2023,AL,100008,AL-169,Madison City,Journey Middle School,217 Celtic Drive,,Madison,AL,35758,    ,(256)464-8370,No,Not Reported,6,8,Middle,7,Regular School,School to be operational within two years,21-Suburb: Large,Madison County,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,34.686038,-86.747416
-86.098534,33.43196,52,10000901403,2022-2023,AL,100009,AL-600,Al Inst Deaf And Blind,Alabama School For Deaf,205 E South Street,,Talladega,AL,35160,2411,(256)761-3214,No,Not Virtual,KG,12,Other,1,Special Education School,Currently operational ,32-Town: Distant,Talladega County,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.43196,-86.098534
-86.089689,33.433574,53,10000901404,2022-2023,AL,100009,AL-600,Al Inst Deaf And Blind,Alabama School For Blind,705 E South Street,,Talladega,AL,35160,    ,(256)761-3259,No,Not Virtual,KG,12,Other,1,Special Education School,Currently operational ,32-Town: Distant,Talladega County,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.433574,-86.089689
-86.117477,33.427279,54,10000901405,2022-2023,AL,100009,AL-600,Al Inst Deaf And Blind,Helen Keller School,1221 Cochran Ave,,Talladega,AL,35161,    ,(256)761-3250,No,Not Virtual,KG,12,Other,1,Special Education School,Currently operational ,32-Town: Distant,Talladega County,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.427279,-86.117477
-86.117706,33.42544,55,10000901406,2022-2023,AL,100009,AL-600,Al Inst Deaf And Blind,E H Gentry Technical Facility,1105 Fort Lashley,,Talladega,AL,35160,    ,(256)761-3402,No,Not Virtual,7,12,High,1,Special Education School,Currently operational ,32-Town: Distant,Talladega County,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.42544,-86.117706
-86.590455,34.722432,56,10000902231,2022-2023,AL,100009,AL-600,Al Inst Deaf And Blind,Child Count Only,1001 Monroe St,,Huntsville,AL,35801,    ,(256)761-3200,No,Not Virtual,9,9,Secondary,1,Special Education School,Currently operational ,12-City: Mid-size,Madison County,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,34.722432,-86.590455
-86.5481,33.5452,57,10001102094,2022-2023,AL,100011,AL-167,Leeds City,Leeds Elementary School,950 Ashville Road,,Leeds,AL,35094,    ,(205)699-4500,No,Not Virtual,2,5,Elementary,1,Regular School,Currently operational ,21-Suburb: Large,Jefferson County,369,321,48,273,,,,165,156,148,156,,,,,,,,,,,333,292,625,625,29,21.55,0,1,1,3,2,5,87,78,165,0,0,0,47,41,88,4,4,8,192,166,358,33.5452,-86.5481
